Filename:  C:\Users\au576929\Documents\ExperimentalPhysics3\X-rays\Absorbanter\Absorber2.mca
Description:  
TimeStamp:  11/11/2019 13:24:29

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	9
40	13
41	12
42	13
43	19
44	15
45	12
46	13
47	10
48	10
49	15
50	12
51	12
52	11
53	8
54	7
55	4
56	6
57	4
58	14
59	12
60	15
61	11
62	5
63	12
64	7
65	4
66	8
67	2
68	9
69	11
70	7
71	10
72	7
73	8
74	9
75	6
76	3
77	11
78	7
79	6
80	5
81	2
82	3
83	3
84	4
85	6
86	5
87	8
88	5
89	6
90	5
91	3
92	2
93	3
94	2
95	2
96	4
97	3
98	2
99	0
100	2
101	2
102	1
103	3
104	0
105	1
106	3
107	1
108	0
109	3
110	4
111	3
112	0
113	1
114	1
115	1
116	4
117	5
118	3
119	3
120	2
121	1
122	1
123	5
124	3
125	1
126	2
127	0
128	2
129	2
130	2
131	4
132	0
133	1
134	5
135	3
136	1
137	2
138	2
139	0
140	0
141	1
142	0
143	2
144	3
145	4
146	3
147	0
148	0
149	1
150	0
151	1
152	0
153	2
154	2
155	2
156	0
157	2
158	1
159	3
160	2
161	1
162	1
163	2
164	2
165	0
166	0
167	3
168	1
169	3
170	2
171	1
172	0
173	2
174	0
175	1
176	1
177	3
178	2
179	2
180	0
181	1
182	2
183	0
184	1
185	0
186	2
187	1
188	2
189	0
190	0
191	1
192	1
193	0
194	1
195	1
196	1
197	1
198	1
199	0
200	1
201	1
202	3
203	3
204	1
205	3
206	2
207	5
208	3
209	2
210	0
211	1
212	1
213	0
214	1
215	0
216	0
217	1
218	0
219	0
220	0
221	0
222	2
223	0
224	1
225	1
226	4
227	0
228	3
229	0
230	3
231	1
232	2
233	0
234	2
235	2
236	2
237	0
238	2
239	1
240	2
241	0
242	1
243	0
244	2
245	0
246	1
247	2
248	2
249	1
250	2
251	1
252	3
253	0
254	5
255	9
256	16
257	36
258	64
259	92
260	82
261	99
262	57
263	28
264	17
265	7
266	4
267	2
268	1
269	3
270	4
271	1
272	4
273	2
274	4
275	3
276	9
277	7
278	13
279	5
280	2
281	8
282	9
283	13
284	21
285	46
286	69
287	89
288	78
289	92
290	55
291	40
292	24
293	11
294	8
295	4
296	6
297	5
298	6
299	3
300	5
301	9
302	7
303	6
304	9
305	4
306	9
307	9
308	9
309	9
310	7
311	5
312	9
313	13
314	11
315	18
316	7
317	10
318	9
319	11
320	11
321	7
322	14
323	18
324	20
325	14
326	12
327	16
328	17
329	23
330	17
331	19
332	19
333	13
334	15
335	21
336	21
337	22
338	14
339	23
340	30
341	27
342	15
343	22
344	28
345	22
346	30
347	24
348	25
349	25
350	26
351	49
352	36
353	37
354	40
355	38
356	37
357	26
358	41
359	42
360	36
361	38
362	36
363	43
364	47
365	44
366	57
367	52
368	50
369	52
370	49
371	57
372	58
373	44
374	61
375	48
376	62
377	49
378	58
379	53
380	65
381	53
382	59
383	64
384	68
385	78
386	67
387	64
388	63
389	57
390	63
391	62
392	68
393	66
394	76
395	84
396	69
397	72
398	80
399	68
400	83
401	86
402	72
403	73
404	81
405	87
406	74
407	99
408	112
409	91
410	104
411	83
412	92
413	96
414	89
415	108
416	97
417	75
418	92
419	109
420	108
421	117
422	86
423	97
424	111
425	97
426	91
427	106
428	91
429	111
430	108
431	102
432	115
433	121
434	120
435	115
436	126
437	104
438	137
439	123
440	104
441	129
442	111
443	111
444	131
445	116
446	135
447	134
448	122
449	109
450	128
451	125
452	106
453	129
454	123
455	125
456	118
457	124
458	121
459	130
460	125
461	127
462	112
463	141
464	145
465	147
466	124
467	142
468	141
469	147
470	125
471	138
472	143
473	149
474	137
475	129
476	131
477	157
478	155
479	157
480	133
481	144
482	121
483	139
484	130
485	143
486	123
487	154
488	161
489	127
490	161
491	164
492	161
493	132
494	144
495	162
496	152
497	165
498	153
499	153
500	142
501	138
502	113
503	146
504	169
505	174
506	160
507	123
508	173
509	145
