Filename:  C:\Users\au576929\Documents\ExperimentalPhysics3\X-rays\Absorbanter\Absorber3.mca
Description:  
TimeStamp:  11/11/2019 13:36:44

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	2
40	2
41	3
42	5
43	4
44	3
45	1
46	5
47	5
48	1
49	3
50	2
51	1
52	3
53	4
54	3
55	2
56	1
57	4
58	5
59	3
60	3
61	5
62	3
63	6
64	4
65	1
66	7
67	2
68	1
69	2
70	7
71	3
72	2
73	2
74	2
75	3
76	1
77	4
78	3
79	2
80	3
81	0
82	3
83	0
84	3
85	2
86	4
87	2
88	0
89	5
90	1
91	3
92	1
93	2
94	1
95	0
96	1
97	0
98	0
99	0
100	4
101	0
102	0
103	3
104	2
105	2
106	0
107	0
108	2
109	0
110	1
111	2
112	0
113	0
114	1
115	1
116	2
117	1
118	1
119	0
120	0
121	1
122	1
123	0
124	1
125	2
126	3
127	0
128	0
129	0
130	1
131	0
132	0
133	1
134	0
135	0
136	0
137	1
138	1
139	2
140	0
141	1
142	1
143	0
144	0
145	1
146	1
147	1
148	1
149	0
150	0
151	0
152	0
153	0
154	1
155	0
156	0
157	0
158	1
159	0
160	0
161	0
162	1
163	0
164	0
165	0
166	1
167	1
168	0
169	0
170	0
171	0
172	0
173	0
174	1
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	1
185	0
186	0
187	0
188	1
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	1
201	0
202	1
203	0
204	0
205	1
206	0
207	1
208	0
209	0
210	0
211	0
212	0
213	1
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	1
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	1
254	0
255	2
256	3
257	8
258	6
259	12
260	9
261	7
262	5
263	3
264	2
265	0
266	0
267	0
268	0
269	0
270	1
271	1
272	1
273	0
274	2
275	0
276	0
277	0
278	0
279	2
280	2
281	0
282	5
283	2
284	7
285	7
286	15
287	20
288	16
289	14
290	12
291	11
292	4
293	2
294	0
295	0
296	0
297	0
298	3
299	1
300	1
301	2
302	1
303	2
304	0
305	0
306	4
307	1
308	1
309	1
310	1
311	0
312	3
313	1
314	4
315	2
316	3
317	1
318	1
319	3
320	6
321	4
322	2
323	4
324	6
325	4
326	4
327	4
328	5
329	7
330	5
331	7
332	4
333	3
334	7
335	6
336	3
337	7
338	5
339	6
340	5
341	5
342	6
343	8
344	7
345	9
346	11
347	14
348	13
349	10
350	9
351	9
352	12
353	10
354	9
355	13
356	12
357	13
358	14
359	17
360	12
361	14
362	21
363	19
364	24
365	20
366	16
367	15
368	26
369	19
370	21
371	24
372	21
373	14
374	35
375	27
376	15
377	31
378	23
379	22
380	16
381	26
382	14
383	13
384	16
385	7
386	6
387	2
388	2
389	6
390	2
391	0
392	0
393	1
394	1
395	0
396	1
397	2
398	1
399	0
400	2
401	0
402	0
403	0
404	0
405	1
406	1
407	0
408	1
409	1
410	3
411	1
412	1
413	0
414	2
415	0
416	0
417	0
418	1
419	0
420	2
421	2
422	0
423	3
424	0
425	1
426	2
427	1
428	2
429	3
430	3
431	5
432	1
433	1
434	4
435	0
436	1
437	3
438	3
439	4
440	4
441	4
442	2
443	2
444	1
445	2
446	0
447	2
448	2
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	1
459	0
460	0
461	1
462	2
463	1
464	1
465	1
466	0
467	1
468	1
469	1
470	0
471	0
472	1
473	1
474	0
475	0
476	1
477	0
478	0
479	0
480	0
481	0
482	1
483	0
484	0
485	0
486	0
487	3
488	1
489	0
490	1
491	0
492	0
493	0
494	2
495	0
496	0
497	1
498	0
499	0
500	1
501	0
502	1
503	1
504	2
505	4
506	1
507	0
508	1
509	1
