Filename:  C:\Users\au576929\Documents\ExperimentalPhysics3\X-rays\Absorbanter\Day 3\Absorber4\Absorber4.mca
Description:  
TimeStamp:  11/25/2019 12:18:48

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	19
40	25
41	23
42	26
43	26
44	27
45	29
46	20
47	30
48	30
49	38
50	21
51	20
52	26
53	28
54	17
55	26
56	22
57	23
58	23
59	20
60	18
61	24
62	19
63	14
64	17
65	15
66	19
67	16
68	9
69	23
70	16
71	8
72	12
73	18
74	16
75	13
76	12
77	11
78	14
79	11
80	10
81	9
82	6
83	4
84	9
85	6
86	6
87	8
88	4
89	8
90	9
91	4
92	4
93	4
94	0
95	3
96	5
97	1
98	4
99	3
100	3
101	1
102	4
103	6
104	2
105	6
106	2
107	2
108	3
109	6
110	1
111	8
112	1
113	3
114	3
115	2
116	4
117	2
118	6
119	4
120	1
121	2
122	3
123	5
124	3
125	2
126	2
127	1
128	2
129	1
130	3
131	2
132	3
133	5
134	4
135	2
136	5
137	1
138	4
139	4
140	1
141	1
142	1
143	3
144	2
145	4
146	2
147	4
148	1
149	2
150	2
151	2
152	1
153	0
154	2
155	1
156	3
157	1
158	0
159	3
160	1
161	3
162	0
163	1
164	1
165	0
166	1
167	3
168	1
169	0
170	4
171	1
172	1
173	1
174	2
175	1
176	2
177	1
178	1
179	2
180	1
181	0
182	1
183	2
184	2
185	2
186	2
187	2
188	3
189	2
190	1
191	0
192	1
193	1
194	1
195	2
196	0
197	3
198	0
199	0
200	0
201	0
202	1
203	1
204	0
205	1
206	2
207	0
208	1
209	1
210	1
211	0
212	2
213	2
214	2
215	0
216	1
217	0
218	1
219	2
220	1
221	0
222	0
223	4
224	2
225	2
226	0
227	1
228	0
229	1
230	2
231	1
232	1
233	1
234	2
235	0
236	2
237	1
238	2
239	3
240	1
241	1
242	1
243	1
244	0
245	2
246	0
247	4
248	0
249	0
250	2
251	0
252	0
253	1
254	0
255	2
256	2
257	0
258	0
259	2
260	0
261	1
262	1
263	0
264	1
265	0
266	2
267	2
268	2
269	2
270	0
271	0
272	0
273	2
274	3
275	2
276	0
277	2
278	1
279	2
280	3
281	1
282	3
283	1
284	2
285	0
286	0
287	0
288	0
289	1
290	0
291	0
292	2
293	2
294	1
295	1
296	0
297	0
298	0
299	0
300	0
301	2
302	0
303	1
304	0
305	0
306	3
307	1
308	0
309	1
310	0
311	1
312	1
313	0
314	0
315	0
316	2
317	0
318	1
319	2
320	0
321	0
322	0
323	1
324	1
325	1
326	0
327	1
328	0
329	0
330	0
331	1
332	0
333	2
334	0
335	1
336	1
337	0
338	1
339	1
340	1
341	3
342	1
343	0
344	2
345	1
346	0
347	2
348	0
349	0
350	2
351	3
352	1
353	1
354	3
355	0
356	0
357	1
358	0
359	4
360	2
361	1
362	2
363	0
364	0
365	0
366	2
367	1
368	0
369	1
370	1
371	0
372	2
373	0
374	2
375	1
376	1
377	1
378	0
379	0
380	0
381	1
382	2
383	0
384	1
385	1
386	0
387	1
388	0
389	1
390	0
391	1
392	2
393	1
394	0
395	1
396	2
397	3
398	1
399	1
400	3
401	0
402	2
403	1
404	1
405	2
406	1
407	3
408	0
409	2
410	5
411	5
412	3
413	3
414	4
415	2
416	1
417	4
418	5
419	6
420	5
421	8
422	2
423	2
424	4
425	5
426	4
427	5
428	2
429	5
430	2
431	2
432	3
433	7
434	5
435	7
436	11
437	8
438	11
439	6
440	4
441	4
442	4
443	8
444	3
445	8
446	8
447	5
448	3
449	9
450	6
451	7
452	11
453	8
454	3
455	17
456	9
457	9
458	9
459	15
460	8
461	13
462	11
463	17
464	15
465	13
466	12
467	10
468	11
469	15
470	10
471	20
472	12
473	11
474	24
475	12
476	14
477	17
478	11
479	19
480	24
481	17
482	20
483	21
484	23
485	24
486	23
487	31
488	35
489	28
490	27
491	22
492	15
493	21
494	28
495	18
496	24
497	19
498	38
499	29
500	24
501	32
502	29
503	39
504	36
505	24
506	26
507	27
