Filename:  C:\Users\au576929\Documents\ExperimentalPhysics3\X-rays\Absorbanter\Day 3\Calibration\Calibration.mca
Description:  
TimeStamp:  11/25/2019 12:11:43

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	13
40	29
41	32
42	27
43	25
44	39
45	30
46	37
47	42
48	46
49	37
50	35
51	34
52	36
53	29
54	33
55	33
56	26
57	36
58	27
59	32
60	25
61	33
62	44
63	33
64	32
65	30
66	19
67	14
68	22
69	25
70	19
71	24
72	30
73	29
74	26
75	29
76	19
77	19
78	25
79	25
80	17
81	19
82	18
83	23
84	33
85	13
86	21
87	10
88	28
89	12
90	11
91	19
92	14
93	17
94	22
95	23
96	19
97	20
98	23
99	10
100	15
101	12
102	9
103	18
104	16
105	13
106	17
107	10
108	10
109	14
110	13
111	13
112	11
113	18
114	8
115	10
116	10
117	11
118	10
119	21
120	15
121	12
122	11
123	10
124	13
125	12
126	10
127	8
128	13
129	14
130	10
131	6
132	4
133	5
134	5
135	7
136	8
137	8
138	10
139	10
140	11
141	7
142	8
143	5
144	10
145	9
146	8
147	10
148	12
149	14
150	7
151	14
152	8
153	5
154	10
155	13
156	8
157	14
158	8
159	18
160	8
161	11
162	18
163	11
164	11
165	19
166	4
167	17
168	12
169	15
170	18
171	22
172	11
173	25
174	17
175	15
176	30
177	31
178	30
179	21
180	27
181	38
182	35
183	30
184	36
185	29
186	44
187	48
188	51
189	40
190	51
191	34
192	45
193	61
194	69
195	66
196	56
197	69
198	61
199	77
200	107
201	116
202	138
203	150
204	193
205	169
206	156
207	139
208	135
209	122
210	123
211	127
212	126
213	131
214	123
215	128
216	109
217	125
218	137
219	159
220	158
221	142
222	180
223	194
224	174
225	143
226	184
227	190
228	169
229	198
230	215
231	208
232	223
233	209
234	243
235	241
236	202
237	225
238	239
239	259
240	249
241	291
242	268
243	292
244	298
245	284
246	325
247	345
248	326
249	369
250	389
251	409
252	496
253	714
254	1413
255	3557
256	8120
257	16703
258	28075
259	37821
260	41399
261	36082
262	25696
263	14526
264	6996
265	2936
266	1231
267	731
268	572
269	501
270	541
271	564
272	516
273	537
274	554
275	578
276	606
277	623
278	675
279	724
280	831
281	919
282	1191
283	2046
284	3427
285	5722
286	8465
287	10386
288	10646
289	9051
290	6363
291	3592
292	1763
293	729
294	335
295	128
296	103
297	85
298	70
299	106
300	109
301	118
302	103
303	96
304	97
305	129
306	110
307	108
308	106
309	116
310	117
311	109
312	94
313	96
314	85
315	96
316	88
317	83
318	101
319	92
320	118
321	97
322	101
323	113
324	122
325	95
326	107
327	121
328	106
329	121
330	101
331	100
332	97
333	109
334	115
335	118
336	115
337	132
338	115
339	123
340	125
341	128
342	114
343	128
344	114
345	129
346	109
347	134
348	113
349	129
350	131
351	151
352	134
353	132
354	130
355	136
356	118
357	149
358	128
359	131
360	139
361	145
362	132
363	143
364	133
365	133
366	140
367	143
368	176
369	152
370	145
371	161
372	164
373	155
374	144
375	158
376	154
377	152
378	156
379	179
380	158
381	137
382	179
383	180
384	160
385	189
386	184
387	164
388	170
389	153
390	155
391	159
392	170
393	138
394	152
395	169
396	162
397	185
398	179
399	147
400	139
401	163
402	171
403	185
404	168
405	180
406	177
407	192
408	179
409	187
410	202
411	148
412	197
413	179
414	174
415	178
416	199
417	181
418	193
419	153
420	188
421	201
422	181
423	191
424	177
425	175
426	168
427	177
428	184
429	195
430	165
431	161
432	162
433	189
434	200
435	167
436	172
437	161
438	187
439	169
440	178
441	198
442	184
443	170
444	201
445	172
446	174
447	176
448	206
449	182
450	183
451	167
452	185
453	175
454	195
455	183
456	206
457	189
458	184
459	193
460	198
461	205
462	195
463	191
464	181
465	181
466	205
467	184
468	204
469	202
470	190
471	197
472	174
473	211
474	193
475	176
476	192
477	223
478	178
479	179
480	189
481	167
482	175
483	222
484	213
485	167
486	192
487	182
488	181
489	177
490	200
491	185
492	194
493	179
494	192
495	189
496	181
497	198
498	200
499	199
500	191
501	204
