Filename:  C:\Users\au576929\Documents\ExperimentalPhysics3\X-rays\Absorbanter\Absorber1.mca
Description:  
TimeStamp:  11/11/2019 13:15:45

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	6
40	5
41	3
42	6
43	5
44	7
45	2
46	5
47	5
48	9
49	7
50	5
51	4
52	4
53	2
54	3
55	2
56	7
57	5
58	2
59	6
60	5
61	7
62	3
63	0
64	6
65	1
66	2
67	5
68	8
69	5
70	5
71	3
72	5
73	3
74	5
75	2
76	3
77	0
78	3
79	3
80	1
81	2
82	5
83	4
84	5
85	4
86	5
87	6
88	4
89	1
90	3
91	2
92	1
93	4
94	2
95	5
96	1
97	1
98	2
99	0
100	3
101	1
102	0
103	4
104	2
105	1
106	1
107	1
108	3
109	3
110	1
111	2
112	0
113	1
114	1
115	2
116	3
117	0
118	1
119	1
120	0
121	0
122	1
123	4
124	0
125	1
126	1
127	5
128	1
129	3
130	3
131	1
132	1
133	2
134	1
135	1
136	1
137	2
138	0
139	1
140	0
141	0
142	1
143	1
144	1
145	0
146	1
147	1
148	0
149	0
150	0
151	0
152	0
153	0
154	2
155	0
156	2
157	0
158	1
159	0
160	1
161	1
162	1
163	1
164	0
165	3
166	1
167	0
168	0
169	0
170	1
171	0
172	1
173	0
174	0
175	0
176	2
177	1
178	0
179	1
180	0
181	0
182	1
183	0
184	0
185	2
186	0
187	1
188	1
189	0
190	0
191	0
192	1
193	1
194	1
195	0
196	1
197	3
198	0
199	1
200	1
201	1
202	2
203	3
204	5
205	2
206	4
207	4
208	1
209	3
210	0
211	0
212	1
213	0
214	0
215	3
216	1
217	2
218	0
219	0
220	0
221	2
222	1
223	0
224	0
225	1
226	1
227	3
228	1
229	1
230	1
231	1
232	1
233	0
234	2
235	2
236	1
237	3
238	1
239	3
240	0
241	2
242	3
243	2
244	0
245	3
246	1
247	3
248	4
249	1
250	4
251	3
252	5
253	4
254	7
255	25
256	95
257	144
258	248
259	351
260	398
261	339
262	211
263	143
264	64
265	24
266	13
267	10
268	6
269	4
270	6
271	4
272	10
273	11
274	6
275	11
276	13
277	11
278	20
279	11
280	17
281	21
282	29
283	42
284	73
285	107
286	163
287	220
288	203
289	186
290	134
291	90
292	41
293	31
294	9
295	19
296	14
297	6
298	7
299	19
300	13
301	15
302	17
303	16
304	11
305	11
306	13
307	14
308	15
309	17
310	11
311	9
312	15
313	14
314	21
315	16
316	13
317	22
318	28
319	26
320	15
321	18
322	21
323	25
324	28
325	27
326	30
327	27
328	29
329	31
330	31
331	28
332	26
333	31
334	23
335	24
336	32
337	38
338	25
339	38
340	40
341	43
342	32
343	42
344	49
345	40
346	38
347	40
348	55
349	44
350	47
351	53
352	48
353	42
354	46
355	47
356	50
357	53
358	60
359	50
360	52
361	50
362	59
363	49
364	59
365	54
366	67
367	70
368	65
369	55
370	81
371	83
372	69
373	72
374	71
375	76
376	58
377	75
378	68
379	70
380	85
381	73
382	77
383	69
384	90
385	68
386	67
387	88
388	80
389	81
390	76
391	92
392	100
393	86
394	69
395	83
396	96
397	83
398	94
399	106
400	90
401	79
402	102
403	94
404	104
405	89
406	97
407	103
408	102
409	105
410	118
411	78
412	101
413	107
414	87
415	118
416	99
417	120
418	117
419	108
420	102
421	122
422	122
423	115
424	109
425	95
426	107
427	123
428	128
429	108
430	125
431	128
432	98
433	118
434	126
435	128
436	116
437	139
438	132
439	118
440	124
441	121
442	124
443	121
444	126
445	130
446	124
447	125
448	101
449	136
450	118
451	136
452	154
453	132
454	145
455	140
456	130
457	144
458	127
459	137
460	123
461	126
462	138
463	133
464	133
465	123
466	149
467	117
468	125
469	148
470	142
471	156
472	162
473	134
474	150
475	148
476	131
477	131
478	131
479	120
480	147
481	147
482	150
483	124
484	133
485	156
486	161
487	123
488	150
489	123
490	169
491	139
492	129
493	141
494	147
495	148
496	152
497	124
498	144
499	142
500	141
501	136
502	145
503	116
504	148
505	121
506	139
507	153
508	130
509	137
