Filename:  C:\Users\au576929\Documents\ExperimentalPhysics3\X-rays\LaueDiffraction\Si_45degree_15min.mca
Description:  
TimeStamp:  11/18/2019 13:08:41

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	1
40	1
41	1
42	0
43	3
44	1
45	0
46	1
47	0
48	2
49	0
50	1
51	0
52	2
53	4
54	6
55	18
56	42
57	55
58	39
59	13
60	7
61	5
62	1
63	0
64	0
65	0
66	0
67	0
68	2
69	1
70	1
71	1
72	2
73	2
74	3
75	1
76	1
77	1
78	2
79	3
80	0
81	1
82	0
83	0
84	1
85	1
86	2
87	0
88	0
89	1
90	1
91	1
92	1
93	1
94	0
95	2
96	3
97	1
98	0
99	0
100	1
101	0
102	1
103	3
104	0
105	1
106	0
107	1
108	0
109	0
110	1
111	0
112	1
113	0
114	0
115	0
116	0
117	0
118	1
119	0
120	0
121	0
122	0
123	0
124	1
125	0
126	0
127	0
128	0
129	1
130	0
131	2
132	0
133	1
134	0
135	0
136	1
137	0
138	0
139	0
140	0
141	0
142	0
143	1
144	0
145	0
146	1
147	2
148	2
149	3
150	1
151	0
152	1
153	0
154	1
155	1
156	0
157	0
158	0
159	0
160	1
161	0
162	0
163	0
164	0
165	0
166	0
167	1
168	0
169	0
170	0
171	0
172	2
173	0
174	0
175	0
176	1
177	0
178	0
179	0
180	1
181	2
182	1
183	0
184	1
185	1
186	1
187	1
188	0
189	1
190	1
191	5
192	1
193	5
194	4
195	2
196	1
197	2
198	1
199	4
200	7
201	10
202	40
203	71
204	174
205	245
206	321
207	269
208	233
209	118
210	40
211	15
212	12
213	1
214	1
215	4
216	4
217	5
218	3
219	1
220	1
221	3
222	3
223	3
224	3
225	3
226	3
227	3
228	3
229	5
230	0
231	2
232	2
233	2
234	3
235	4
236	4
237	3
238	3
239	4
240	9
241	6
242	3
243	3
244	11
245	9
246	12
247	20
248	19
249	42
250	35
251	40
252	60
253	73
254	87
255	74
256	93
257	93
258	90
259	107
260	96
261	79
262	48
263	24
264	21
265	9
266	6
267	4
268	8
269	5
270	8
271	5
272	5
273	8
274	13
275	11
276	11
277	5
278	19
279	19
280	12
281	9
282	31
283	21
284	25
285	24
286	20
287	24
288	14
289	9
290	10
291	5
292	7
293	3
294	2
295	4
296	0
297	4
298	0
299	3
300	1
301	1
302	3
303	1
304	4
305	3
306	0
307	2
308	2
309	6
310	2
311	3
312	1
313	5
314	3
315	2
316	2
317	1
318	1
319	3
320	4
321	1
322	2
323	2
324	5
325	3
326	7
327	4
328	2
329	3
330	1
331	1
332	5
333	4
334	4
335	4
336	3
337	10
338	7
339	4
340	4
341	6
342	3
343	4
344	7
345	1
346	2
347	5
348	4
349	5
350	5
351	5
352	6
353	6
354	4
355	5
356	4
357	6
358	6
359	7
360	7
361	4
362	4
363	6
364	5
365	5
366	4
367	6
368	6
369	4
370	5
371	9
372	5
373	7
374	6
375	5
376	8
377	6
378	11
379	5
380	12
381	8
382	8
383	8
384	9
385	7
386	9
387	11
388	7
389	12
390	9
391	14
392	9
393	9
394	11
395	16
396	19
397	9
398	10
399	19
400	11
401	15
402	19
403	17
404	22
405	28
406	23
407	38
408	65
409	77
410	83
411	89
412	99
413	65
414	65
415	42
416	31
417	20
418	12
419	17
420	23
421	21
422	15
423	8
424	13
425	6
426	14
427	11
428	14
429	11
430	11
431	11
432	14
433	10
434	12
435	13
436	13
437	11
438	7
439	10
440	7
441	16
442	15
443	11
444	13
445	7
446	10
447	7
448	7
449	8
450	9
451	6
452	13
453	6
454	13
455	8
456	7
457	9
458	6
459	9
460	5
461	11
462	10
463	10
464	7
465	6
466	8
467	5
468	12
469	9
470	8
471	8
472	11
473	12
474	6
475	6
476	10
477	6
478	12
479	10
480	11
481	10
482	11
483	10
484	11
485	7
486	6
487	10
488	11
489	10
490	6
491	15
492	10
493	5
494	4
495	6
496	8
497	6
498	11
499	14
500	14
501	15
502	7
503	8
504	7
505	6
506	17
507	11
508	8
